geo,nace_r2,AIIE_Index,Total_Employment
AT,A,0.2621947597133048,155.2
AT,C,0.4264837830654208,743.1
AT,D,0.5389756883613789,24.3
AT,E,0.3178513233890727,15.600000000000001
AT,F,0.37194464959828594,366.4
AT,G,0.4725030618744807,604.5
AT,H,0.42349916094422835,207.20000000000002
AT,I,0.45164075258882563,250.2
AT,J,0.683841728090368,156.6
AT,K,0.6402605449610944,136.5
AT,L,0.5512195906051451,31.3
AT,M,0.6316313323202128,268.6
AT,N,0.40956693300974123,159.5
AT,O,0.5623179808562856,279.0
AT,P,0.6738476774519253,292.09999999999997
AT,Q,0.5970539309550382,490.9
AT,R,0.6229605319404995,70.60000000000001
AT,S,0.5077873411944112,104.80000000000001
AT,T,0.19085775335775337,3.0
AT,U,0.547255291005291,3.6
BA,A,0.27309755810938496,83.2
BA,B,0.32739601946134067,20.3
BA,C,0.30948209114527336,228.89999999999998
BA,D,0.4321143605131238,23.9
BA,E,0.3626620966236778,19.2
BA,F,0.284339403383141,106.4
BA,G,0.4678153536324391,182.4
BA,H,0.35052259550868314,68.69999999999999
BA,I,0.46275577588,60.89999999999999
BA,J,0.662298732783185,29.800000000000004
BA,K,0.6485841689328699,21.2
BA,M,0.6972990369478758,20.3
BA,N,0.4624627152624493,15.6
BA,O,0.571225277163006,79.30000000000001
BA,P,0.656165161861318,67.0
BA,Q,0.5758684514216359,63.6
BA,R,0.5756823694417066,15.299999999999999
BA,S,0.4566447250605583,28.5
BA,T,0.19085775335775337,1.2
BA,U,0.7490118690118691,1.9
BE,A,0.26530529928636476,41.0
BE,C,0.44420445435554406,567.3
BE,D,0.5717374827544895,26.0
BE,E,0.43077967856439286,39.0
BE,F,0.37597250364883744,310.4
BE,G,0.49022759791384024,616.1
BE,H,0.42684228760865295,277.5
BE,I,0.48605698426220306,184.8
BE,J,0.6957050687893647,218.79999999999998
BE,K,0.6711983077902016,152.0
BE,L,0.5913996587305574,37.0
BE,M,0.6805904244053376,320.59999999999997
BE,N,0.397955087667664,291.70000000000005
BE,O,0.5781819932196612,406.3
BE,P,0.6989696446191214,480.9
BE,Q,0.5645910051226214,718.6
BE,R,0.5943582746276224,75.60000000000001
BE,S,0.5314806957985935,103.7
BE,T,0.3071851792260933,5.8
BE,U,0.6878035440525613,64.2
BG,A,0.2691713950743482,184.9
BG,B,0.3039086041654678,17.7
BG,C,0.3149973984541281,532.7
BG,D,0.46600076207514013,27.1
BG,E,0.2738910897426463,24.7
BG,F,0.30333227273651014,250.2
BG,G,0.47365539400523854,498.3
BG,H,0.3600083811896114,200.4
BG,I,0.46263151434634053,130.7
BG,J,0.6849526195978238,109.89999999999999
BG,K,0.6366068296376197,63.1
BG,L,0.547255291005291,14.3
BG,M,0.7077758435752891,108.19999999999999
BG,N,0.40492428199854813,93.0
BG,O,0.5787122838968356,177.7
BG,P,0.6553379176457569,160.9
BG,Q,0.6105312391088309,166.5
BG,R,0.6784034215143494,36.8
BG,S,0.49983000482400475,53.4
CH,A,0.2792662270441309,81.8
CH,B,0.23080540858318638,1.3
