geo,nace_r2,time_period,gva_millions,hours_thousands,labor_productivity,AIIE_Index
LU,O,2019,2756.0,38604.0,71.39156564086622,0.5641356578415105
LU,O,2020,2900.7,40786.0,71.11999215417055,0.5641356578415105
LU,O,2021,3097.8,43527.0,71.16961885726101,0.5641356578415105
LU,O,2022,3245.1,45627.0,71.1223617594845,0.5641356578415105
LU,O,2023,3344.0,47059.0,71.05973352599928,0.5641356578415105
LU,O,2024,3474.9,49244.0,70.5649419218585,0.5641356578415105
LV,O,2008,1574.3,134408.0,11.71284447354324,0.6597596941891644
LV,O,2009,1384.5,130644.0,10.597501607421695,0.6597596941891644
LV,O,2010,1257.1,115418.0,10.891715330364415,0.6597596941891644
LV,O,2011,1260.8,114996.0,10.96385961250826,0.6597596941891644
LV,O,2012,1244.0,114758.0,10.84020286167413,0.6597596941891644
LV,O,2013,1248.5,119414.0,10.455223005677727,0.6597596941891644
LV,O,2014,1288.7,113385.0,11.365700930458173,0.6597596941891644
LV,O,2015,1320.5,112377.0,11.750625127917633,0.6597596941891644
LV,O,2016,1354.7,117866.0,11.493560483939389,0.6597596941891644
LV,O,2017,1406.7,115318.0,12.198442567508977,0.6597596941891644
LV,O,2018,1438.7,119336.0,12.055875846349803,0.6597596941891644
LV,O,2019,1435.4,125071.0,11.476681245052811,0.6597596941891644
LV,O,2020,1484.2,120741.0,12.292427592946886,0.6597596941891644
LV,O,2021,1497.8,119878.0,12.49436927543002,0.6597596941891644
LV,O,2022,1555.7,116224.0,13.385359306167402,0.6597596941891644
LV,O,2023,1656.7,116740.0,14.191365427445605,0.6597596941891644
LV,O,2024,1775.2,123528.0,14.37083090473415,0.6597596941891644
MT,O,2008,381.4,23704.0,16.09011137360783,0.6064988217329487
MT,O,2009,389.1,24210.0,16.071871127633212,0.6064988217329487
MT,O,2010,393.7,23177.0,16.9866678172326,0.6064988217329487
MT,O,2011,407.8,23034.0,17.704263263002517,0.6064988217329487
MT,O,2012,417.2,23358.0,17.86111824642521,0.6064988217329487
MT,O,2013,417.7,23353.0,17.88635293110093,0.6064988217329487
MT,O,2014,433.9,23948.0,18.118423250375812,0.6064988217329487
MT,O,2015,452.3,25951.0,17.42900080921737,0.6064988217329487
MT,O,2016,468.2,27695.0,16.905578624300414,0.6064988217329487
MT,O,2017,491.0,28605.0,17.164831323195248,0.6064988217329487
MT,O,2018,518.9,30135.0,17.219180355068858,0.6064988217329487
MT,O,2019,546.8,32012.0,17.081094589528924,0.6064988217329487
MT,O,2020,557.4,31625.0,17.625296442687745,0.6064988217329487
MT,O,2021,600.6,30774.0,19.516474946383312,0.6064988217329487
MT,O,2022,638.3,30754.0,20.75502373674969,0.6064988217329487
MT,O,2023,651.0,31412.0,20.724563860944862,0.6064988217329487
MT,O,2024,696.9,32742.0,21.284588601795857,0.6064988217329487
NL,O,2008,43978.2,899666.0,48.882807619716644,0.630682507024656
NL,O,2009,45024.2,925102.0,48.669444018065036,0.630682507024656
NL,O,2010,46166.0,945256.0,48.83967940959909,0.630682507024656
NL,O,2011,45828.0,916538.0,50.00120016846001,0.630682507024656
