STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2013,,212.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2014,,211.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2015,,207.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2016,,214.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2017,,253.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2018,,330.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2019,,297.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2020,,400.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2021,,456.2,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2022,,411.8,,,,,
